aX,aY,aZ,gX,gY,gZ
0.184,-0.116,1.07,10.62,13.184,22.095
0.191,-0.113,1.044,14.343,14.038,18.25
0.198,-0.107,1.013,17.822,14.893,14.526
0.209,-0.097,0.997,20.691,15.93,10.925
0.216,-0.09,0.965,22.278,17.395,7.935
0.217,-0.096,0.935,22.827,19.226,5.371
0.218,-0.103,0.945,22.156,21.301,2.808
0.223,-0.101,0.972,20.02,23.865,0.61
0.227,-0.099,0.999,16.785,26.306,-1.404
0.235,-0.091,1.047,12.878,28.564,-2.93
0.244,-0.079,1.093,8.545,30.151,-3.967
0.254,-0.075,1.1,4.395,31.067,-5.554
0.266,-0.069,1.083,0.305,31.677,-7.019
0.28,-0.061,1.07,-2.93,32.166,-8.362
0.296,-0.054,1.054,-5.737,32.715,-9.399
0.312,-0.046,1.064,-7.812,33.447,-10.254
0.33,-0.027,1.114,-9.644,33.997,-10.864
0.349,-0.015,1.179,-10.742,33.997,-11.353
0.367,-0.01,1.237,-11.414,33.142,-11.78
0.384,-0.012,1.303,-11.414,31.738,-12.268
0.395,-0.019,1.371,-10.559,29.297,-12.939
0.401,-0.025,1.414,-8.728,25.757,-13.794
0.398,-0.031,1.41,-6.592,21.79,-14.16
0.396,-0.026,1.362,-3.723,17.639,-15.015
0.405,-0.008,1.298,-0.366,13.733,-15.686
0.413,0.01,1.252,3.357,11.108,-16.052
0.416,0.021,1.231,7.019,9.277,-15.93
0.409,0.011,1.22,10.315,7.935,-15.686
0.398,-0.009,1.22,13.245,7.019,-15.564
0.388,-0.032,1.214,15.503,6.348,-15.869
0.383,-0.046,1.193,17.212,5.798,-16.235
0.383,-0.051,1.168,18.188,5.737,-16.663
0.378,-0.05,1.162,18.25,5.737,-17.09
0.372,-0.045,1.157,17.395,5.737,-17.151
0.363,-0.041,1.145,15.869,5.493,-16.907
0.354,-0.04,1.125,14.038,5.371,-16.907
0.348,-0.038,1.106,11.902,5.615,-16.541
0.346,-0.034,1.093,9.705,6.165,-16.418
0.346,-0.033,1.09,7.263,6.836,-16.235
0.344,-0.03,1.102,5.127,7.507,-15.625
0.345,-0.024,1.121,3.174,8.057,-15.137
0.346,-0.019,1.13,0.977,8.24,-14.526
0.343,-0.014,1.143,-1.099,7.935,-13.611
0.344,-0.008,1.169,-2.808,7.08,-12.329
0.346,-0.006,1.193,-3.723,5.676,-11.23
0.349,-0.008,1.21,-4.761,4.089,-9.949
0.345,-0.015,1.232,-4.639,2.136,-8.789
0.343,-0.019,1.257,-4.395,-0.244,-7.751
0.339,-0.026,1.265,-3.784,-2.747,-6.714
0.334,-0.033,1.258,-3.235,-5.249,-5.92
0.329,-0.03,1.238,-2.869,-7.751,-4.944
0.327,-0.021,1.207,-2.625,-9.827,-4.089
0.322,-0.014,1.165,-2.563,-11.414,-3.479
0.318,-0.008,1.134,-2.869,-12.085,-2.808
0.313,-0.006,1.12,-3.357,-12.573,-1.709
0.307,-0.003,1.107,-4.089,-12.512,-0.366
0.305,-0.004,1.086,-4.944,-12.024,0.671
0.301,-0.011,1.064,-5.554,-10.864,1.709
