aX,aY,aZ,gX,gY,gZ
-0.044,0.439,-0.677,165.466,48.096,48.767
-0.054,0.458,-0.661,167.053,49.561,49.377
-0.061,0.479,-0.654,167.847,51.208,50.049
-0.077,0.501,-0.633,168.396,53.04,50.537
-0.084,0.527,-0.613,168.396,55.054,51.27
-0.093,0.548,-0.603,168.518,57.068,52.185
-0.104,0.579,-0.572,168.945,59.143,53.101
-0.115,0.601,-0.543,169.25,61.157,54.016
-0.127,0.607,-0.533,169.617,63.171,54.504
-0.141,0.622,-0.509,169.678,64.88,54.81
-0.158,0.654,-0.474,169.189,67.2,55.359
-0.168,0.696,-0.443,168.762,69.58,56.091
-0.177,0.715,-0.426,168.274,71.594,57.068
-0.185,0.719,-0.404,167.786,73.547,58.167
-0.197,0.723,-0.377,166.992,75.439,59.387
-0.215,0.714,-0.365,166.26,77.148,60.547
-0.23,0.712,-0.346,165.466,79.102,60.974
-0.244,0.72,-0.319,164.795,81.116,61.279
-0.259,0.751,-0.278,163.757,83.618,61.584
-0.277,0.786,-0.24,162.659,85.876,61.951
-0.289,0.795,-0.221,161.682,88.135,62.378
-0.293,0.775,-0.187,160.156,90.698,63.171
-0.294,0.747,-0.15,158.264,92.896,64.392
-0.298,0.736,-0.101,156.311,94.36,65.125
-0.312,0.739,-0.057,154.114,95.703,65.491
-0.332,0.763,-0.015,151.917,96.497,65.613
-0.351,0.8,0.032,150.024,97.29,65.552
-0.368,0.824,0.052,148.376,98.083,65.552
-0.379,0.819,0.053,146.606,99.426,66.04
-0.383,0.8,0.072,144.287,100.891,66.833
-0.382,0.781,0.114,141.541,102.295,67.749
-0.386,0.761,0.151,138.733,103.76,68.726
-0.396,0.761,0.208,135.986,104.492,69.336
-0.415,0.772,0.254,133.667,104.858,69.58
-0.431,0.762,0.26,131.47,104.98,69.58
-0.439,0.749,0.274,129.517,105.286,69.58
-0.447,0.738,0.3,127.747,105.896,69.519
-0.459,0.743,0.348,125.671,106.995,69.641
-0.48,0.768,0.411,124.084,107.666,69.702
-0.497,0.762,0.436,122.681,108.032,69.824
-0.494,0.724,0.461,121.521,108.398,69.641
-0.495,0.677,0.48,120.178,108.643,68.726
-0.496,0.637,0.476,118.469,108.826,67.566
-0.493,0.617,0.48,116.882,109.009,66.406
-0.504,0.611,0.493,114.99,109.497,65.247
-0.521,0.629,0.541,113.22,110.229,63.904
-0.524,0.645,0.584,112,111.023,64.026
-0.525,0.624,0.595,110.718,111.694,64.148
-0.521,0.591,0.621,109.009,112.488,63.782
-0.515,0.563,0.658,107.3,113.22,62.927
-0.511,0.535,0.675,105.652,113.647,61.89
-0.511,0.531,0.713,104.187,113.708,60.669
-0.516,0.533,0.744,102.539,113.953,59.448
-0.52,0.528,0.757,101.074,114.075,58.35
-0.521,0.528,0.776,99.792,114.502,57.312
-0.521,0.519,0.791,98.633,114.929,56.824
-0.517,0.504,0.824,97.046,115.601,56.519
-0.51,0.494,0.869,95.825,116.028,56.274
-0.509,0.488,0.915,94.666,116.272,55.969
-0.506,0.484,0.958,93.628,116.516,55.603
