aX,aY,aZ,gX,gY,gZ
-0.175,-0.021,0.887,15.564,12.085,-3.54
-0.153,-0.035,0.832,15.32,11.963,-3.357
-0.144,-0.044,0.808,15.32,12.39,-3.235
-0.157,-0.048,0.859,15.198,12.817,-3.113
-0.174,-0.042,0.958,15.32,12.817,-3.113
-0.183,-0.036,1.018,15.137,11.597,-3.052
-0.184,-0.042,1.033,14.709,9.338,-2.93
-0.179,-0.052,1.012,14.465,6.958,-2.625
-0.166,-0.066,0.967,13.916,4.578,-2.625
-0.15,-0.083,0.894,13.794,2.625,-2.686
-0.138,-0.102,0.818,13.733,1.404,-2.747
-0.141,-0.117,0.778,14.038,0.793,-2.991
-0.161,-0.118,0.81,14.832,0.793,-3.113
-0.175,-0.115,0.859,15.625,0.671,-3.357
-0.183,-0.114,0.866,16.418,0.061,-3.662
-0.179,-0.117,0.846,16.968,-0.366,-3.967
-0.164,-0.124,0.81,17.7,-0.61,-4.272
-0.146,-0.134,0.75,18.066,-0.427,-4.7
-0.119,-0.146,0.681,18.86,0.305,-5.127
-0.084,-0.157,0.599,19.531,1.77,-5.859
-0.057,-0.169,0.529,20.569,4.211,-6.592
-0.051,-0.175,0.507,21.484,7.385,-7.202
-0.061,-0.176,0.545,22.583,10.803,-7.935
-0.075,-0.17,0.616,23.621,13.733,-8.484
-0.08,-0.164,0.696,24.536,15.503,-9.216
-0.067,-0.157,0.764,25.33,16.479,-9.46
-0.034,-0.152,0.792,25.513,16.663,-9.827
0.003,-0.153,0.773,25.574,16.479,-9.888
0.038,-0.158,0.72,25.635,16.418,-9.766
0.074,-0.167,0.654,25.33,16.785,-9.644
0.1,-0.174,0.592,25.208,17.883,-9.521
0.102,-0.18,0.585,25.146,19.47,-9.216
0.088,-0.178,0.662,25.146,20.752,-8.911
0.081,-0.167,0.78,24.963,21.057,-8.606
0.086,-0.157,0.878,24.475,20.081,-8.118
0.101,-0.159,0.933,23.621,18.066,-7.629
0.119,-0.165,0.943,23.01,15.259,-7.385
0.138,-0.171,0.91,21.912,12.512,-6.897
0.16,-0.182,0.85,21.24,10.254,-6.714
0.181,-0.193,0.785,20.386,8.728,-6.226
0.206,-0.203,0.749,19.836,8.118,-5.859
0.224,-0.209,0.761,19.287,7.935,-5.493
0.233,-0.206,0.809,18.555,8.057,-5.127
0.243,-0.198,0.871,17.395,8.057,-4.578
0.238,-0.186,0.931,15.686,7.69,-4.15
0.22,-0.177,0.975,13.672,7.019,-3.723
0.201,-0.169,0.963,11.108,5.798,-3.357
0.197,-0.172,0.922,8.545,4.944,-2.93
0.218,-0.174,0.892,6.47,4.761,-2.319
0.255,-0.178,0.871,5.005,5.676,-1.648
0.291,-0.176,0.853,3.662,7.385,-0.854
0.316,-0.17,0.836,2.686,9.766,0
0.315,-0.171,0.847,1.282,12.939,0.854
0.3,-0.174,0.88,0,15.991,1.892
0.289,-0.176,0.895,-1.648,18.799,2.808
0.295,-0.188,0.919,-3.479,21.24,3.662
0.308,-0.2,0.967,-5.005,23.682,4.395
0.315,-0.206,1.008,-5.92,25.94,5.005
0.33,-0.213,1.028,-6.47,28.32,5.493
0.34,-0.229,1.025,-5.859,29.968,5.859
0.339,-0.242,1.021,-4.883,31.86,6.165
0.334,-0.252,1.034,-3.845,33.142,6.226
0.321,-0.267,1.044,-2.38,33.813,6.165
0.322,-0.28,1.069,-0.916,34.241,6.226
0.35,-0.289,1.125,0.671,34.18,5.92
0.369,-0.296,1.17,2.686,33.997,5.432
0.377,-0.298,1.189,4.822,33.875,5.066
0.376,-0.304,1.179,7.202,33.569,4.639
0.368,-0.311,1.143,9.583,33.63,4.089
0.362,-0.309,1.103,11.597,33.813,3.601
0.37,-0.307,1.095,13.611,34.18,3.357
0.389,-0.303,1.132,15.076,34.546,3.235
0.417,-0.305,1.18,15.93,34.546,3.235
0.435,-0.306,1.222,16.235,34.058,3.174
0.445,-0.3,1.254,15.808,32.776,3.601
0.445,-0.296,1.273,14.954,30.945,3.967
0.432,-0.296,1.273,14.16,28.931,4.333
0.421,-0.295,1.275,12.817,26.917,4.7
0.423,-0.294,1.288,12.207,25.269,4.883
0.423,-0.307,1.284,12.146,23.926,4.944
0.424,-0.314,1.265,12.451,22.888,4.639
0.428,-0.315,1.242,13.428,22.217,4.272
0.427,-0.316,1.238,14.771,22.095,3.845
0.415,-0.311,1.246,15.869,21.851,3.052
0.406,-0.305,1.242,17.09,21.484,2.38
0.393,-0.305,1.206,18.311,20.752,1.77
0.378,-0.312,1.167,19.714,20.02,0.977
0.376,-0.312,1.145,20.996,19.653,0.305
0.38,-0.31,1.124,22.827,19.531,-0.549
0.375,-0.308,1.097,24.353,19.531,-1.221
0.365,-0.298,1.086,25.879,19.775,-1.77
0.35,-0.281,1.09,27.222,19.958,-2.38
0.336,-0.265,1.089,28.015,20.081,-2.808
0.325,-0.257,1.084,28.381,19.958,-3.052
0.329,-0.259,1.1,28.503,19.836,-3.174
0.338,-0.268,1.115,28.687,19.836,-3.357
0.341,-0.278,1.132,28.503,19.531,-3.479
0.342,-0.283,1.156,28.381,18.677,-3.54
0.34,-0.284,1.172,28.198,17.761,-3.662
0.337,-0.275,1.193,27.832,16.418,-3.54
0.332,-0.264,1.209,27.161,14.893,-3.418
0.324,-0.255,1.213,26.123,13.062,-3.235
0.313,-0.253,1.213,25.391,10.986,-2.991
0.312,-0.257,1.2,24.292,9.46,-2.869
0.311,-0.266,1.194,23.193,7.874,-2.747
0.308,-0.275,1.2,22.156,6.653,-2.686
0.311,-0.28,1.206,20.935,5.371,-2.563
0.314,-0.287,1.206,19.836,3.967,-2.502
0.31,-0.292,1.212,18.616,2.686,-2.38
0.308,-0.294,1.226,17.212,1.16,-2.625
0.306,-0.294,1.229,15.686,-0.61,-2.502
0.302,-0.295,1.216,14.038,-2.441,-2.502
0.304,-0.298,1.193,12.39,-4.333,-2.563
0.308,-0.306,1.162,10.681,-5.676,-2.502
0.311,-0.311,1.126,9.277,-6.775,-2.502
0.317,-0.312,1.101,8.118,-7.629,-2.563
0.318,-0.31,1.078,6.897,-7.996,-2.563
0.317,-0.311,1.068,5.859,-8.118,-2.563
